drive_cycle,fuel_type,mpgde,mpgge,primary_fuel_range_mi
/Volumes/LaCie/Steamboat_ESB_data/CSV_2/ESB_2_2/Days2/C45_Steamboat_306_Diesel/C45_Steamboat_306_Diesel_2023-09-08.csv,diesel,7.1426,8.05253664,428.556
/Volumes/LaCie/Steamboat_ESB_data/CSV_2/ESB_2_2/Days2/C45_Steamboat_306_Diesel/C45_Steamboat_306_Diesel_2023-09-09.csv,diesel,8.34132,9.403968433,500.4792
/Volumes/LaCie/Steamboat_ESB_data/CSV_2/ESB_2_1/Days2/C44_Steamboat_307_Diesel/C44_Steamboat_307_Diesel_2023-09-27.csv,diesel,6.25,7.046223224,375
/Volumes/LaCie/Steamboat_ESB_data/CSV_2/ESB_2_1/Days2/C44_Steamboat_307_Diesel/C44_Steamboat_307_Diesel_2023-09-30.csv,diesel,8.17095,9.211894025,490.257
/Volumes/LaCie/Steamboat_ESB_data/CSV_2/ESB_2_1/Days2/C44_Steamboat_307_Diesel/C44_Steamboat_307_Diesel_2023-10-02.csv,diesel,8.3541,9.41837655,501.246
/Volumes/LaCie/Steamboat_ESB_data/CSV_2/ESB_2_1/Days2/C44_Steamboat_307_Diesel/C44_Steamboat_307_Diesel_2023-10-03.csv,diesel,7.4059,8.349379932,444.354
/Volumes/LaCie/Steamboat_ESB_data/CSV_2/ESB_2_1/Days2/C44_Steamboat_307_Diesel/C44_Steamboat_307_Diesel_2023-10-05.csv,diesel,7.9475,8.959977452,476.85
/Volumes/LaCie/Steamboat_ESB_data/CSV_2/ESB_2_1/Days2/C44_Steamboat_307_Diesel/C44_Steamboat_307_Diesel_2023-10-09.csv,diesel,7.71516,8.698038331,462.9096
/Volumes/LaCie/Steamboat_ESB_data/CSV_2/ESB_2_1/Days2/C44_Steamboat_307_Diesel/C44_Steamboat_307_Diesel_2023-10-12.csv,diesel,8.11093,9.144227734,486.6558
/Volumes/LaCie/Steamboat_ESB_data/CSV_2/ESB_2_1/Days2/C44_Steamboat_307_Diesel/C44_Steamboat_307_Diesel_2023-10-13.csv,diesel,8.14276,9.18011274,488.5656
/Volumes/LaCie/Steamboat_ESB_data/CSV_2/ESB_2_1/Days2/C44_Steamboat_307_Diesel/C44_Steamboat_307_Diesel_2023-10-14.csv,diesel,7.92413,8.933630214,475.4478
/Volumes/LaCie/Steamboat_ESB_data/CSV_2/ESB_2_1/Days2/C44_Steamboat_307_Diesel/C44_Steamboat_307_Diesel_2023-10-16.csv,diesel,8.37983,9.447384442,502.7898
/Volumes/LaCie/Steamboat_ESB_data/CSV_2/ESB_2_1/Days2/C44_Steamboat_307_Diesel/C44_Steamboat_307_Diesel_2023-10-19.csv,diesel,8.30018,9.357587373,498.0108
/Volumes/LaCie/Steamboat_ESB_data/CSV_2/ESB_2_2/Days2/C44_Steamboat_307_Diesel/C44_Steamboat_307_Diesel_2023-10-26.csv,diesel,7.38684,8.32789177,443.2104
/Volumes/LaCie/Steamboat_ESB_data/CSV_2/ESB_2_2/Days2/C44_Steamboat_307_Diesel/C44_Steamboat_307_Diesel_2023-11-03.csv,diesel,8.67779,9.783303269,520.6674
/Volumes/LaCie/Steamboat_ESB_data/CSV_2/ESB_2_2/Days2/C44_Steamboat_307_Diesel/C44_Steamboat_307_Diesel_2023-11-04.csv,diesel,7.63046,8.602547914,457.8276
/Volumes/LaCie/Steamboat_ESB_data/CSV_2/ESB_2_2/Days2/C44_Steamboat_307_Diesel/C44_Steamboat_307_Diesel_2023-11-11.csv,diesel,8.34358,9.406516347,500.6148
